전용면적(㎡),계약년월,거래금액(만원),건축년도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,거래유형,평수
39.08,202301,6300.0,2012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8217
59.92,202301,7500.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1258
59.95,202301,8000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.134875
84.98,202301,29000.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70645
59.95,202301,22500.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.134875
75.3657,202301,23800.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79812425
49.62,202301,6600.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01005
49.62,202301,6400.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01005
49.62,202301,6400.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01005
49.62,202301,6400.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01005
59.39,202301,10000.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.965475
59.39,202301,8000.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.965475
59.39,202301,8600.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.965475
41.94,202301,2000.0,2007.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.68685
84.906,202301,23500.0,2007.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.684065
59.9587,202301,13250.0,2003.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.13750675
62.09,202301,9000.0,2000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.782225
77.4598,202301,32900.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4315895
64.7915,202301,23500.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.599428749999998
64.7915,202301,24500.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.599428749999998
47.01,202301,8200.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.220524999999999
39.3,202301,7500.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88825
39.69,202301,5700.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.006224999999999
47.01,202301,9400.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.220524999999999
68.32,202301,8500.0,1990.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6668
49.81,202301,8450.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.067525
71.839,202301,20000.0,2016.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7312975
84.8964,202301,27000.0,2010.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.681161
84.9714,202301,18900.0,2013.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7038485
